lemma,cat,def,etym,fam,proc,aff,rad,etym_mean,lang,base,etym_fam,label
oblation,Nom commun,"['Offrande, action par laquelle on offre quelque chose à Dieu.']","['Du latin oblatio (« offrande »).', 'oblatiun.']","['oblationnaire', 'oblat', 'oblatif', 'oblativité', 'oblature', 'oblateur', 'oblation', 'offrande', 'offrant', 'offre', 'offreur', 'offreuse', 'offrir']",['suffixation'],['-ion'],oblat-,"[('oblatio', 'offrande')]",latin,offrir,"['oblationnaire', 'oblat', 'oblatif', 'oblativité', 'oblature', 'oblateur']",supplétion rare
oiseau,Nom commun,"['Animal vertébré théropode, à deux pattes et deux ailes, ovipare, homéotherme, au corps couvert de plumes et qui possède un bec corné dépourvu de dents.']","['Du moyen français oiseau, oyseau, de l’ancien français oisel, du bas latin aucellus (« petit oiseau »), forme contractée de *avicellus, diminutif du latin avis (« oiseau »).']","['antioiseau', 'oiseaulogue', 'oiselage', 'oiseler', 'oiselet', 'oiselier', 'oiselle', 'oisellerie', 'oisillon', 'zoiseau', 'moquoiseau', 'Loiseau', 'volatile', 'zèbre', 'zigoto', 'zoziau', 'zozio', 'zozyau', 'roitelet', 'papegai', 'auge', 'piaf', 'aviaire', 'couvée', 'nichée', 'aviarité', 'avien', 'oiseau', 'oiselette', 'oiseleur', 'oisellette', 'ornithien']",[],[],NULL,[],NULL,NULL,[],non dérivé
nez,Nom commun,['Partie saillante du visage entre la bouche et le front couvrant l’organe communiquant avec les poumons permettant de sentir et de respirer.'],"['Du moyen français nez, de l’ancien français nes (Chanson de Roland), du latin nasus (même sens). Plus avant, de l’indo-européen commun *nas- dont sont issus l’anglais nose, l’allemand Nase, le tchèque ou le polonais nos, le russe нос nos, le lituanien nosis, le sanskrit नासिका, nāsikā.', ""(L'orthographe nez est notamment utilisée pour parler de saignées)""]","['appendice', 'blair', 'blaire', 'blase', 'blaze', 'nase', 'naze', 'pif', 'reniflant', 'renifloir', 'tarbouif', 'tarin', 'groin', 'mufle', 'museau', 'trompe', 'nasal', 'nasalisation', 'nasaliser', 'naseau', 'enluminé', 'cartilagineuse', 'visage', 'tête', 'corps', 'antinazi', 'antinazisme', 'catarhinien', 'catarrhinien', 'dénasalisation', 'dénasaliser', 'dénazification', 'dénazifier', 'haplorrhinien', 'nasalité', 'naserie', 'nasette', 'nasière', 'nazi', 'nazinette', 'nazisme', 'naziste', 'nazitude', 'nazité', 'nez', 'rhinite', 'semi-nasal', 'Nazinette']",[],[],NULL,[],NULL,NULL,[],non dérivé
nutrition,Nom commun,"[""Métabolisation des nutriments en vue de leur assimilation pour la croissance, l'entretien, le fonctionnement de l'organisme.""]",['Du latin nutritio (« action de nourrir ») de nutrire (« nourrir »).'],"['malnutrition', 'micronutrition', 'nutritionnel', 'nutritionniste', 'diététique', 'nutriment', 'nutritif', 'nourrain', 'nourrette', 'nourri', 'nourrice', 'nourriciat', 'nourricier', 'nourrin', 'nourrir', 'nourrissage', 'nourrissant', 'nourrissement', 'nourrisseur', 'nourriçat', 'nutriciat', 'nutricier', 'nutrition', 'nutritivité']",['suffixation'],['-ion'],nutrit-,"[('nutritio', 'action de nourrir'), ('nutrire', 'nourrir')]",latin,nourir,"['malnutrition', 'micronutrition', 'nutritionnel', 'nutritionniste', 'nutritif', 'nutriciat', 'nutricier', 'nutritif', 'nutrition', 'nutritionnel', 'nutritionniste', 'nutritivité']",supplétion régulière
évier,Nom commun,"['Table en céramique, en métal ou en pierre, comportant un bassin creusé dans lequel on lave la vaisselle, et qui a un trou pour l’écoulement des eaux.']","['euwier. Eve est une variante du XIᵉ siècle de eau, à rapprocher avec son équivalent poitevin-saintongeais ève/aeve ou wallon aiwî. Évier désigne le récipient qui contient l’eau, comme aiguière dont il est le doublet naturel (voir aigue). Il provient sans doute du latin aquarium ou même du latin aquarius qui aurait pu devenir un adjectif en lieu et place de latin aquatique.']","['sink', 'lavabo', 'aquarien', 'aquette', 'aqueux', 'aquosité', 'déshydratation', 'déshydrater', 'déshydraté', 'eau', 'eautette', 'hydatisme', 'hydraire', 'hydratable', 'hydratant', 'hydratation', 'hydrater', 'hydrateur', 'hydrolien', 'monohydraté', 'réhydratation', 'réhydrater', 'évier', 'aigaire', 'aiguière']",['suffixation'],['-ier'],év-,"[('eve', 'eau')]",ancien français ,eau,[],supplétion rare
feu,Nom commun,"[""Phénomène calorifique et lumineux produit par la combustion d'une matière inflammable ; un des quatre éléments des Anciens.""]","[""Du moyen français feu, de l’ancien français fou (IXᵉ siècle), fu, foc, du bas latin feu, du latin fŏcus (« foyer, âtre, feu de la maison »), qui a supplanté le latin classique ignis à l’époque impériale. Feu est cognat de l’italien fuoco, de l’espagnol fuego, du portugais fogo, du catalan fog ; mais sans rapport avec l'allemand Feuer qui viendrait directement du grec « πῦρ »."", ""Note : en proto-indo-européen commun, il semble qu'il y ait eu deux mots pour le feu, selon les hypothèses de reconstitution. Le premier *h₁n̥gʷnis a donné des mots comme ignis en latin et agni (अग्नि) en sanskrit, et désigne le feu en tant qu'élément animé et actif, comme une entité : ainsi dans des expressions comme « dieu du feu » (Agni est le dieu hindou du feu), ou « esprit du feu », « le feu de la haine fait encore rage dans son âme ».\nLe second *péh₂wr a donné des mots comme fŏcus en latin, fire en anglais, πῦρ en grec ou pir en ombrien, et en français : feu. Cette seconde racine fait référence au feu comme une substance inanimée et envisagée comme un outil (ainsi dans « allumer le deuxième feu de la gazinière pour cuire les légumes »).\nAujourd'hui la plupart des langues indo-européennes semblent n'utiliser qu'un seul mot pour désigner ce substantif, issu soit de la première origine, soit de la seconde.\nLe français possède deux familles de mots issues respectivement de chacune de ces deux origines : de la première viennent des mots comme igné, ignifuge, ignition, ignivome, ignivore, ignicole. De la seconde viennent des mots comme feu ou foyer (lui-même dérivé du latin focarium : « fourneau de cuisine » qui avait remplacé focus) ; ainsi que les mots renvoyant à l'idée de foyer d'ellipse ou de lentille optique (rassemblant et diffusant un rayonnement) qui comportent l'élément foc- tiré de focus, comme focal. Focus a aussi donné fusil par l'intermédiaire de *focilis, « pierre à feu »."", '(Adjectif 1) Dérivé du nom commun. référence nécessaire (résoudre le problème)']","['antifeu', 'boutefeu', 'monofeu', 'calcination', 'consomption', 'crémation', 'ignition', 'incandescence', 'flammes', 'foyer', 'incendie', 'allumette', 'bic', 'briquet', 'Dieu', 'divinité', 'cuisinière', 'four', 'gazinière', 'poêle', 'plaques', 'réchaud', 'âtre', 'crématoire', 'cheminée', 'pyrée', 'maison', 'éclairage', 'lumière', 'spot', 'sémaphore', 'lumière', 'phare', 'éclat', 'scintillement', 'splendeur', 'fire', 'amour', 'folie', 'pistolet', 'pétard', 'début', 'départ', 'start', '🔥', '🚥', '🚦', 'carburant', 'combustible', 'extincteur', 'igné', 'afféage', 'afféagement', 'afféager', 'bifocal', 'bifocalité', 'défocalisation', 'défocaliser', 'feu', 'feutier', 'focal', 'focalisable', 'focalisation', 'focaliser', 'focaliseur', 'focalité']",[],[],NULL,[],NULL,NULL,[],non dérivé
pancalisme,Nom commun,['Doctrine esthétique qui prône que tout doit être considéré sous l’aspect du beau.'],"['Du grec ancien πάγκαλος, pankalos (« tout beau ») et -isme.']","['pancaliste', 'aphrodisme', 'beau', 'pancalisme', 'Beau']",['suffixation'],['-isme'],pancal-,"[('πάγκαλος, pankalos', 'tout beau')]",grec ancien,beau,['pancaliste'],supplétion rare
strabisme,Nom commun,"['Disposition anormale des yeux, qui ne leur permet pas d’être dirigés en même temps sur le même objet.']","['Du grec ancien στραβισμός, strabismos, issu de στραβίζω, strabizô (« loucher »), de στραβός, strabos (« qui louche »).']","['strabique', 'biglouche', 'louchement', 'loucherie', 'strabotomie', 'strabotomiste', 'orthopie', 'louche', 'loucher', 'loucherie', 'louchet', 'louchette', 'loucheur', 'loucheuse', 'strabisme']",['suffixation'],['-isme'],strab-,"[('στραβισμός, strabismos'), ('στραβίζω, strabizô', 'loucher'), ('στραβός, strabos', 'qui louche')]",grec ancien,loucher,"['strabique', 'strabotomie', 'strabotomiste']",supplétion rare
pierre,Nom commun,"['Roche solide et plus ou moins dure, qui constitue une masse compacte dans le sol ou qui affleure à la surface.']","['Du moyen français pierre, de l’ancien français pierre (1100), peddre, pedra, du latin pĕtra (« roche, rocher »), du grec ancien πέτρα, pétra, qui a supplanté lapis en latin populaire.']","['dépierrer', 'désempierrer', 'empierré', 'empierrer', 'épierrer', 'perron', 'pierrade', 'pierraille', 'Pierre', 'pierrer', 'pierreries', 'pierrette', 'pierreuse', 'pierreux', 'pierrier', 'perrière', 'pierriste', 'pierrot', 'pierrure', 'réempierrer', 'aimant', 'coquillier', 'épaufrer', 'épaufrure', 'gélif', 'glyptothèque', 'jade', 'dépierrage', 'empierrage', 'empierrement', 'lapidaire', 'lapidarité', 'lapidateur', 'lapidation', 'lapider', 'monolithe', 'monolithique', 'monolithisme', 'perrier', 'perrière', 'pierre', 'pierrette', 'pierrière', 'pierrot', 'pétré']",[],[],NULL,[],NULL,NULL,[],non dérivé
thélite,Nom commun,['Inflammation du mamelon.'],"['Du grec ancien θηλή, thêlế (« mamelle ») et -ite.']","['thélalgie', 'thélorrhagie', 'thélotisme', 'mammelon', 'thélite']",['suffixation'],['-ite'],thél-,"[('θηλή, thêlế', 'mamelle')]",grec ancien,mammelle,"['thélalgie', 'thélorrhagie', 'thélotisme']",supplétion rare 
